time,open,high,low,close,volume
2022-10-04 18:45:00,125.38,125.38,125.38,125.38,246
2022-10-04 17:15:00,125.35,125.35,125.35,125.35,100
2022-10-04 16:30:00,125.5,125.5,125.5,125.5,100
2022-10-04 16:15:00,125.5,125.5,125.5,125.5,95675
2022-10-04 16:00:00,125.04,125.53,124.99,125.5,485368
2022-10-04 15:45:00,125.0,125.234,124.775,125.045,199982
2022-10-04 15:30:00,125.0,125.1,124.73,125.02,164622
2022-10-04 15:15:00,125.44,125.44,124.89,125.02,110789
2022-10-04 15:00:00,125.15,125.48,125.13,125.44,102687
2022-10-04 14:45:00,124.94,125.174,124.94,125.15,63651
2022-10-04 14:30:00,125.13,125.25,124.97,124.97,69207
2022-10-04 14:15:00,124.95,125.25,124.95,125.14,111537
2022-10-04 14:00:00,124.6159,125.07,124.6159,124.97,104107
2022-10-04 13:45:00,124.715,124.85,124.56,124.62,76146
2022-10-04 13:30:00,124.71,124.76,124.32,124.7,118468
2022-10-04 13:15:00,124.9103,124.96,124.69,124.72,71136
2022-10-04 13:00:00,125.24,125.24,124.68,124.91,117354
2022-10-04 12:45:00,125.37,125.42,125.2,125.24,61266
2022-10-04 12:30:00,124.93,125.46,124.93,125.38,108593
2022-10-04 12:15:00,124.9,124.97,124.82,124.91,97187
2022-10-04 12:00:00,125.11,125.15,124.75,124.86,77574
2022-10-04 11:45:00,125.08,125.31,124.9,125.1,114303
2022-10-04 11:30:00,124.95,125.18,124.82,125.0787,130244
2022-10-04 11:15:00,125.33,125.41,124.9,124.93,125659
2022-10-04 11:00:00,124.91,125.401,124.79,125.31,137786
2022-10-04 10:45:00,125.27,125.54,124.92,124.92,210827
2022-10-04 10:30:00,125.26,125.57,125.06,125.28,207330
2022-10-04 10:15:00,125.31,125.65,125.04,125.21,128380
2022-10-04 10:00:00,124.19,125.3,124.13,125.235,237715
2022-10-04 09:45:00,122.8,124.23,122.52,124.15,386350
2022-10-04 09:30:00,122.76,122.76,122.75,122.76,1500
2022-10-04 09:15:00,122.72,122.89,122.72,122.72,1218
2022-10-04 09:00:00,122.61,122.72,122.6,122.72,606
2022-10-04 08:30:00,122.6,122.73,122.41,122.41,2736
2022-10-04 08:15:00,123.0,123.0,122.67,122.67,1459
2022-10-04 08:00:00,122.67,122.67,122.67,122.67,176
2022-10-04 07:45:00,122.8,122.8,122.8,122.8,200
2022-10-04 07:30:00,122.76,122.76,122.55,122.55,761
2022-10-04 07:15:00,123.0,123.0,123.0,123.0,489
2022-10-04 06:30:00,122.8,123.06,122.8,123.06,621
2022-10-03 20:00:00,121.87,121.87,121.52,121.52,225
2022-10-03 18:45:00,121.53,121.53,121.53,121.53,100
2022-10-03 17:45:00,121.55,121.55,121.55,121.55,100
2022-10-03 17:30:00,121.54,121.54,121.54,121.54,502
2022-10-03 17:15:00,121.7,121.7,121.7,121.7,250
2022-10-03 16:15:00,121.51,121.52,121.49,121.51,171607
2022-10-03 16:00:00,121.665,121.77,121.435,121.51,483696
2022-10-03 15:45:00,121.805,121.98,121.67,121.67,169047
2022-10-03 15:30:00,121.78,121.86,121.6,121.81,176691
2022-10-03 15:15:00,122.11,122.13,121.765,121.81,109835
2022-10-03 15:00:00,121.98,122.21,121.935,122.12,101529
2022-10-03 14:45:00,121.93,122.03,121.88,121.99,96301
2022-10-03 14:30:00,121.86,121.9752,121.77,121.935,122706
2022-10-03 14:15:00,121.79,121.92,121.7845,121.86,69107
2022-10-03 14:00:00,121.73,121.86,121.725,121.78,61874
2022-10-03 13:45:00,121.62,121.86,121.6,121.72,68762
2022-10-03 13:30:00,121.61,121.8,121.52,121.62,88208
2022-10-03 13:15:00,121.57,121.72,121.52,121.625,68370
2022-10-03 13:00:00,121.5,121.63,121.41,121.57,74648
2022-10-03 12:45:00,121.41,121.5,121.23,121.489,69858
2022-10-03 12:30:00,121.765,121.765,121.4,121.42,73828
2022-10-03 12:15:00,121.46,121.83,121.46,121.76,74258
2022-10-03 12:00:00,121.41,121.63,121.31,121.48,70136
2022-10-03 11:45:00,121.53,121.56,121.27,121.395,96948
2022-10-03 11:30:00,121.48,121.68,121.35,121.53,118277
2022-10-03 11:15:00,121.29,121.61,121.29,121.48,126810
2022-10-03 11:00:00,121.02,121.55,121.02,121.31,128528
2022-10-03 10:45:00,121.16,121.31,120.85,120.97,174608
2022-10-03 10:30:00,120.89,121.3465,120.785,121.14,144513
2022-10-03 10:15:00,119.82,120.99,119.79,120.89,157439
2022-10-03 10:00:00,120.33,120.46,119.62,119.8,145190
2022-10-03 09:45:00,120.16,120.39,119.6,120.3,234261
2022-10-03 09:30:00,120.17,120.17,120.1504,120.16,886
2022-10-03 09:00:00,119.52,120.25,119.43,120.25,1192
2022-10-03 05:15:00,118.81,118.81,118.81,118.81,209
2022-09-30 19:45:00,119.05,119.05,119.05,119.05,100
2022-09-30 17:30:00,119.05,119.05,119.05,119.05,225
2022-09-30 17:15:00,119.0,119.0,119.0,119.0,430
2022-09-30 17:00:00,119.0,119.0,118.85,118.85,2003
2022-09-30 16:30:00,118.81,119.39,118.81,119.16,1521
2022-09-30 16:15:00,118.81,118.86,118.81,118.81,198937
2022-09-30 16:00:00,119.34,119.43,118.61,118.91,934328
2022-09-30 15:45:00,119.61,119.81,119.275,119.34,212215
2022-09-30 15:30:00,119.41,119.65,119.315,119.6,177981
2022-09-30 15:15:00,119.362,119.7399,119.32,119.42,122481
2022-09-30 15:00:00,119.63,119.67,119.34,119.37,115829
2022-09-30 14:45:00,119.92,120.06,119.5364,119.645,138757
2022-09-30 14:30:00,119.98,120.23,119.87,119.91,107261
2022-09-30 14:15:00,120.07,120.2097,119.9413,119.96,86949
2022-09-30 14:00:00,119.94,120.127,119.78,120.04,113259
2022-09-30 13:45:00,120.47,120.5333,119.94,119.94,211694
2022-09-30 13:30:00,120.605,120.7,120.35,120.47,151843
2022-09-30 13:15:00,120.82,120.82,120.57,120.63,56520
