Date,WeightP,WeightK
1/3/2018,230.383063983325,104.5000
1/10/2018,229.2807526724,104.0000
1/18/2018,225.09196969088498,102.1000
1/31/2018,229.060290410215,103.9000
7/22/2019,241.406177092575,109.5000
2/17/2020,241.406177092575,109.5000
2/20/2020,234.57184696484,106.4000
2/24/2020,233.46953565391502,105.9000
3/2/2020,232.36722434299003,105.4000
3/4/2020,228.83982814803,103.8000
3/16/2020,225.09196969088498,102.1000
3/23/2020,222.887347069035,101.1000
3/30/2020,222.887347069035,101.1000
4/6/2020,220.46226218500001,100.0000
4/13/2020,216.0530169413,98.0000
4/20/2020,214.950705630375,97.5000
4/23/2020,215.391630154745,97.7000
4/28/2020,216.0530169413,98.0000
5/1/2020,212.746083008525,96.5000
5/4/2020,213.84839431945,97.0000
5/14/2020,210.541460386675,95.5000
5/16/2020,210.541460386675,95.5000
5/18/2020,208.777762289195,94.7000
5/21/2020,207.67545097827002,94.2000
5/25/2020,211.864233959785,96.1000
5/28/2020,208.336837764825,94.5000
5/29/2020,207.45498871608498,94.1000
5/30/2020,206.573139667345,93.7000
6/3/2020,207.01406419171502,93.9000
6/20/2020,204.80944156986502,92.9000
6/24/2020,208.336837764825,94.5000
7/12/2020,208.99822455138,94.8000
7/13/2020,207.895913240455,94.3000
7/20/2020,207.45498871608498,94.1000
7/22/2020,204.80944156986502,92.9000
8/12/2020,206.79360192952998,93.8000
8/17/2020,205.691290618605,93.3000
8/18/2020,203.486667996755,92.3000
8/19/2020,203.26620573457,92.2000
8/20/2020,202.604818948015,91.9000
8/21/2020,204.14805478331,92.6000
8/24/2020,204.80944156986502,92.9000
8/25/2020,203.486667996755,92.3000
8/26/2020,201.722969899275,91.5000
8/27/2020,200.841120850535,91.1000
8/28/2020,200.841120850535,91.1000
8/29/2020,199.518347277425,90.5000
8/30/2020,197.754649179945,89.7000
8/31/2020,197.754649179945,89.7000
9/1/2020,196.65233786902002,89.2000
9/2/2020,195.99095108246502,88.9000
9/3/2020,195.99095108246502,88.9000
9/4/2020,195.32956429591,88.6000
9/6/2020,199.518347277425,90.5000
9/7/2020,198.19557370431502,89.9000
9/8/2020,197.09326239339,89.4000
9/9/2020,195.77048882028,88.8000
9/10/2020,194.0067907228,88.0000
9/11/2020,194.668177509355,88.3000
9/12/2020,197.09326239339,89.4000
9/13/2020,194.0067907228,88.0000
9/14/2020,192.68401714969002,87.4000
9/15/2020,193.786328460615,87.9000
9/17/2020,195.109102033725,88.5000
9/18/2020,194.44771524717,88.2000
9/20/2020,189.5975454791,86.0000
9/21/2020,191.581705838765,86.9000
9/24/2020,190.92031905220998,86.6000
9/28/2020,194.227252984985,88.1000
9/29/2020,191.80216810095,87.0000
9/30/2020,190.03847000347,86.2000
10/1/2020,190.03847000347,86.2000
10/2/2020,191.36124357658,86.8000
10/4/2020,190.699856790025,86.5000
10/5/2020,189.15662095473,85.8000
10/6/2020,188.27477190599,85.4000
10/7/2020,189.37708321691503,85.9000
10/8/2020,187.83384738162002,85.2000
10/9/2020,189.37708321691503,85.9000
10/10/2020,188.936158692545,85.7000
10/11/2020,188.27477190599,85.4000
10/12/2020,188.27477190599,85.4000
10/13/2020,186.731536070695,84.7000
10/14/2020,186.51107380851,84.6000
10/15/2020,188.71569643036,85.6000
10/16/2020,187.83384738162002,85.2000
10/17/2020,188.495234168175,85.5000
10/19/2020,186.95199833288,84.8000
10/20/2020,185.1883002354,84.0000
10/21/2020,185.849687021955,84.3000
10/22/2020,185.408762497585,84.1000
10/23/2020,184.52691344884502,83.7000
10/24/2020,183.64506440010499,83.3000
10/27/2020,186.290611546325,84.5000
10/28/2020,185.408762497585,84.1000
10/29/2020,185.408762497585,84.1000
10/30/2020,184.967837973215,83.9000
11/1/2020,188.936158692545,85.7000
11/2/2020,186.731536070695,84.7000
11/3/2020,185.1883002354,84.0000
11/4/2020,184.30645118665998,83.6000
11/5/2020,184.30645118665998,83.6000
11/6/2020,182.98367761355001,83.0000
11/7/2020,183.86552666229002,83.4000
11/8/2020,182.32229082699502,82.7000
11/9/2020,185.408762497585,84.1000
11/10/2020,181.66090404044002,82.4000
11/11/2020,183.204139875735,83.1000
11/12/2020,184.085988924475,83.5000
11/13/2020,184.085988924475,83.5000
11/14/2020,185.1883002354,84.0000
11/15/2020,185.1883002354,84.0000
11/16/2020,184.085988924475,83.5000
11/17/2020,184.085988924475,83.5000
11/18/2020,183.204139875735,83.1000
11/19/2020,182.32229082699502,82.7000
11/20/2020,183.86552666229002,83.4000
11/21/2020,182.763215351365,82.9000
11/22/2020,182.763215351365,82.9000
11/23/2020,183.64506440010499,83.3000
11/24/2020,182.10182856480998,82.6000
11/25/2020,184.085988924475,83.5000
11/26/2020,184.085988924475,83.5000
11/27/2020,182.32229082699502,82.7000
11/28/2020,182.32229082699502,82.7000
11/29/2020,182.32229082699502,82.7000
11/30/2020,182.32229082699502,82.7000
12/1/2020,182.32229082699502,82.7000
12/3/2020,181.66090404044002,82.4000
12/4/2020,180.33813046733,81.8000
12/5/2020,180.33813046733,81.8000
12/6/2020,180.33813046733,81.8000
12/7/2020,183.42460213792,83.2000
12/8/2020,181.440441778255,82.3000
12/10/2020,181.440441778255,82.3000
12/12/2020,181.440441778255,82.3000
12/13/2020,182.98367761355001,83.0000
12/14/2020,183.86552666229002,83.4000
12/15/2020,181.881366302625,82.5000
12/16/2020,180.999517253885,82.1000
